Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-03T23:00:00,NOR,Agder,221,0,0,0,221,0
2020-04-03T23:00:00,NOR,Innlandet,350,0,0,0,350,0
2020-04-03T23:00:00,NOR,Møre og Romsdal,106,0,0,0,106,0
2020-04-03T23:00:00,NOR,Nordland,71,0,0,0,71,0
2020-04-03T23:00:00,NOR,NOT SPECIFIED,0,0,0,0,0,44
2020-04-03T23:00:00,NOR,Oslo,1438,0,0,0,1438,0
2020-04-03T23:00:00,NOR,Outside mainland Norway,1,0,0,0,1,0
2020-04-03T23:00:00,NOR,Rogaland,351,0,0,0,351,0
2020-04-03T23:00:00,NOR,Troms og Finnmark,176,0,0,0,176,0
2020-04-03T23:00:00,NOR,Trøndelag,352,0,0,0,352,0
2020-04-03T23:00:00,NOR,Unknown,1,0,0,0,1,0
2020-04-03T23:00:00,NOR,Unknown county,3,0,0,0,3,0
2020-04-03T23:00:00,NOR,Vestfold og Telemark,201,0,0,0,201,0
2020-04-03T23:00:00,NOR,Vestland,525,0,0,0,525,0
2020-04-03T23:00:00,NOR,Viken,1416,0,0,0,1416,0
