Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-03-19,ALB,Albania,Elbasan,41.040028,20.186454,2,0,0,2,,,False,False
2020-03-19,ALB,Albania,Fier,40.774633,19.620528,6,0,0,6,,,False,False
2020-03-19,ALB,Albania,Tiranë,41.268583,19.793936,42,0,0,42,0,0,False,False
2020-03-20,AND,Andorra,Andorra,42.542268,1.596865,75,0,0,75,,,False,False
2020-03-21,AUT,Austria,Burgenland,47.541449,16.520206,54,,,,,,True,True
2020-03-21,AUT,Austria,Kärnten,46.715832,14.455532,83,,,,,,True,True
2020-03-21,AUT,Austria,Niederösterreich,48.27051,15.763245,394,,,,,,True,True
2020-03-21,AUT,Austria,Oberösterreich,48.138166,13.964295,548,,,,,,True,True
2020-03-21,AUT,Austria,Salzburg,47.254051,13.032653,185,,,,,,True,True
2020-03-21,AUT,Austria,Steiermark,47.187361,15.518046,388,,,,,,True,True
2020-03-21,AUT,Austria,Tirol,47.209023,11.397603,575,,,,,,True,True
2020-03-21,AUT,Austria,Vorarlberg,47.240149,9.896366,228,,,,,,True,True
2020-03-21,AUT,Austria,Wien,48.21141,16.380038,359,,,,,,True,True
2020-03-20,BLR,Belarus,Belarus,53.711111,27.973847,57,0,0,57,0,0,False,False
2020-03-20,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,24,0,0,24,0,0,False,False
2020-03-20,HRV,Croatia,Brodsko-Posavska,45.142404,17.821388,1,0,0,1,,,True,True
2020-03-20,HRV,Croatia,Dubrovačko-neretvanska,42.662368,18.15083,1,0,0,1,,,True,True
2020-03-20,HRV,Croatia,Grad Zagreb,45.742196,16.008116,47,0,0,47,,,True,True
2020-03-20,HRV,Croatia,Istarska,45.203521,13.895312,11,1,0,10,,,True,True
2020-03-20,HRV,Croatia,Karlovačka,45.292126,15.46427,4,0,0,4,,,True,True
2020-03-20,HRV,Croatia,Koprivničko-križevačka,46.066232,16.571467,4,0,0,4,,,True,True
2020-03-21,HRV,Croatia,NOT SPECIFIED,,,191,0,0,191,,,True,True
2020-03-20,HRV,Croatia,Osječko-baranjska,45.56139,18.442456,7,0,0,7,,,True,True
2020-03-20,HRV,Croatia,Primorsko-Goranska,45.367738,14.701448,13,0,0,13,,,True,True
