Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-04-11,ALB,Albania,Berat,40.6285,20.090775,2,0,0,2,0,0,False,False
2020-04-11,ALB,Albania,Durrës,41.518365,19.651766,45,3,0,42,0,0,False,False
2020-04-11,ALB,Albania,Elbasan,41.040028,20.186454,15,0,0,15,0,0,False,False
2020-04-11,ALB,Albania,Fier,40.774633,19.620528,38,2,0,36,0,0,False,False
2020-04-11,ALB,Albania,Korçë,40.62883,20.666004,17,0,0,17,0,0,False,False
2020-04-11,ALB,Albania,Kukës,42.066696,20.419467,16,1,0,15,0,0,False,False
2020-04-11,ALB,Albania,Lezhë,41.801452,19.845695,17,0,0,17,0,0,False,False
2020-04-11,ALB,Albania,Shkodër,42.17682,19.719451,57,1,0,56,0,0,False,False
2020-04-11,ALB,Albania,Tiranë,41.268583,19.793936,221,15,0,206,0,0,False,False
2020-04-11,ALB,Albania,Vlorë,40.162418,19.793592,5,1,0,4,0,0,False,False
2020-04-11,AND,Andorra,Andorra,42.542268,1.596865,601,26,0,575,0,0,False,False
2020-04-11,AUT,Austria,Burgenland,47.541449,16.520206,259,0,0,259,0,0,True,True
2020-04-11,AUT,Austria,Kärnten,46.715832,14.455532,382,0,0,382,0,0,True,True
2020-04-11,AUT,Austria,Niederösterreich,48.27051,15.763245,2274,0,0,2274,0,0,True,True
2020-04-11,AUT,Austria,Oberösterreich,48.138166,13.964295,2115,0,0,2115,0,0,True,True
2020-04-11,AUT,Austria,Salzburg,47.254051,13.032653,1154,0,0,1154,0,0,True,True
2020-04-11,AUT,Austria,Steiermark,47.187361,15.518046,1515,0,0,1515,0,0,True,True
2020-04-11,AUT,Austria,Tirol,47.209023,11.397603,3257,0,0,3257,0,0,True,True
2020-04-11,AUT,Austria,Vorarlberg,47.240149,9.896366,825,0,0,825,0,0,True,True
2020-04-11,AUT,Austria,Wien,48.21141,16.380038,1995,0,0,1995,0,0,True,True
2020-04-11,BLR,Belarus,Belarus,53.711111,27.973847,1981,19,0,1962,0,0,False,False
2020-04-11,BEL,Belgium,Brussels,50.836426,4.367415,2980,538,0,2442,0,0,True,True
2020-04-11,BEL,Belgium,Flanders,51.036569,4.234165,16116,1630,0,14486,0,0,True,True
2020-04-11,BEL,Belgium,NOT SPECIFIED,,,478,0,0,478,0,0,True,True
2020-04-09,BEL,Belgium,NOT SPECIFIED,,,389,0,0,389,0,0,True,True
2020-04-11,BEL,Belgium,Wallonia,50.312074,5.019093,8444,1178,0,7266,0,0,True,True
2020-04-11,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,526,22,0,504,0,0,False,False
2020-04-11,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,18,3,0,15,0,0,True,True
2020-04-11,BGR,Bulgaria,Burgas,42.491848,27.306892,26,0,0,26,0,0,True,True
2020-04-11,BGR,Bulgaria,Dobrich,43.65074,27.936751,12,0,0,12,0,0,True,True
2020-04-11,BGR,Bulgaria,Gabrovo,42.931879,25.247163,2,0,0,2,0,0,True,True
2020-04-11,BGR,Bulgaria,Haskovo,41.849113,25.942349,6,0,0,6,0,0,True,True
2020-04-11,BGR,Bulgaria,Kardzhali,41.527042,25.441477,12,0,0,12,0,0,True,True
2020-04-11,BGR,Bulgaria,Kyustendil,42.255307,22.869974,12,3,0,9,0,0,True,True
2020-04-11,BGR,Bulgaria,Lovech,43.035259,24.5688,2,0,0,2,0,0,True,True
